state,DEMOCRAT_votes_1976,DEMOCRAT_votes_1980,DEMOCRAT_votes_1984,DEMOCRAT_votes_1988,DEMOCRAT_votes_1992,DEMOCRAT_votes_1996,DEMOCRAT_votes_2000,DEMOCRAT_votes_2004,DEMOCRAT_votes_2008,DEMOCRAT_votes_2012,DEMOCRAT_votes_2016,DEMOCRAT_votes_2020,REPUBLICAN_votes_1976,REPUBLICAN_votes_1980,REPUBLICAN_votes_1984,REPUBLICAN_votes_1988,REPUBLICAN_votes_1992,REPUBLICAN_votes_1996,REPUBLICAN_votes_2000,REPUBLICAN_votes_2004,REPUBLICAN_votes_2008,REPUBLICAN_votes_2012,REPUBLICAN_votes_2016,REPUBLICAN_votes_2020
Maryland,0.5303541992343639,0.4713812953749961,0.4701639086016661,0.48199034274054775,0.4981260518598394,0.5425477435186173,0.5648830838450493,0.5597176120840286,0.6191934476264593,0.6197419077931849,0.6032854853195064,0.6536066486007711,0.46964580076563617,0.44180965091762653,0.5250505259050059,0.511075866300971,0.3562940269477673,0.38269497492798465,0.40184780655062285,0.4297821777859425,0.364745196451127,0.3589773233894539,0.33918616431884707,0.32150291567748757
Massachusetts,0.5611157822510813,0.41749779128319514,0.4843378267340214,0.5322905149306765,0.47541410927927824,0.614720987115381,0.5912612602067913,0.616166602048537,0.6136319910280229,0.6033830832021647,0.5905006509667129,0.6512298370286536,0.40441709276098914,0.41901477364119344,0.5122078250890938,0.4537505873022686,0.2902438795758967,0.2808799202334166,0.32132902993601964,0.3658840187124994,0.3573495928933176,0.37319122315334863,0.3228620279085515,0.3190815758863096
Michigan,0.46465074118397737,0.42497413500949555,0.4023607594370667,0.4567207834593339,0.43773687484399393,0.5169482057469723,0.5127979887069135,0.5123070672905647,0.5743324730745946,0.5420820421051875,0.4727453095086684,0.5062081829082437,0.518607510700818,0.48986181892588354,0.5922602717025045,0.5356769377648254,0.36375647915056897,0.3848459433533809,0.46146214732140645,0.4781205855781017,0.40959705661952706,0.4471091602742022,0.47497564219996147,0.4783729069113762
Minnesota,0.5489630145887213,0.4650156244212726,0.49718846563288427,0.5291283342633263,0.4348465127847806,0.5110075658200806,,,0.5406029269827984,,0.4644503396176695,0.5239509930974001,0.4202174333348206,0.4255866224543305,0.49538415187898577,0.4589572632452463,0.3185083315303405,0.3495542971194422,0.4550235065209324,0.47613533791521456,0.43822931044139074,0.4495820110666865,0.4492519310427733,0.4528494240916937
Mississippi,0.4962701232447065,0.48139164564059433,0.3742328159268264,0.39067144591622144,0.40768064143867394,0.4408110022072882,0.40698100150475164,0.40161112592821346,0.43001554426238403,0.4378935954398935,0.40114788271784096,0.41057606455978607,0.4774216218326631,0.49463302495093914,0.6188232118873154,0.5988983679485405,0.4968389467026145,0.4920675231049262,0.5761951509982056,0.5901437414899142,0.5617618898101739,0.5528584674358112,0.5794103808883564,0.5760295457538255
Missouri,0.5110498566748567,0.4434571659339068,0.39975249332122964,0.4785044916272857,0.4407168575694087,0.4753957827961623,0.47084273348102373,0.46100446516831883,0.49292647865705136,0.4438348354545333,0.3813523083523671,0.4140878173618836,0.47473536036036035,0.511557635306578,0.6002475066787704,0.5183157305367595,0.3392168178415654,0.41241389856190613,0.5042281595937441,0.5329619193926551,0.49426074411878823,0.5376374113587709,0.5677234783816165,0.5679965577888949
Montana,0.4540418697183741,0.32430650195630195,0.381765818454278,0.46198526556440983,0.3763112452293446,0.41250064483164367,0.3336512679264014,0.3856502839483698,0.4726846477008176,0.41698137374805805,0.35935218775150346,0.4054936936160908,0.5283998612860246,0.5682452631116192,0.6047448208399566,0.5207151725307241,0.3512249654759208,0.44131540742305625,0.584394602249225,0.5906814316858852,0.495324509445858,0.553515353849205,0.5646619186857719,0.5691846924002028
Nebraska,0.38449671940126806,0.2602273846697512,0.28809826864389887,0.39191038074576884,0.29403454157435605,0.34950658016134867,0.33253039013283714,0.3268216082016382,0.415982657769247,0.38027314417928976,0.33698756377135536,0.39166630941787967,0.5920388826351588,0.6555001852914548,0.7055069085555675,0.6016282040621953,0.4659750035929962,0.5365499730593506,0.6224536203460738,0.6589864119889075,0.5653185336979162,0.5980319217904804,0.5874735112712576,0.5822416333205421
Nevada,0.4580980403812241,0.2735666332912037,0.32419345140193195,0.38684125397440644,0.3735754999822246,0.43933496884416484,0.4594126276200884,0.4787804051895702,0.551466759243187,0.5235624947040056,0.4791782367811904,0.5005678195728402,0.5016594345043492,0.6361185430789685,0.6676995016217631,0.6004668743606706,0.34726792253089955,0.4291471292046377,0.49485089247915254,0.504696915453111,0.42654115108984053,0.4567531564126363,0.4550069531760242,0.4766624732455941
New hampshire,0.43472692100451377,0.28350738300476575,0.30945168987719335,0.36334498640475,0.38911795091350765,0.4957057734944029,0.46803179160787306,0.5020161082255741,0.5412689705613458,0.5197968415071198,0.46826262669690555,0.5270782528014766,0.5474682519352113,0.5773718065574625,0.6866733178367926,0.624908717607236,0.37691427082266876,0.395664895277257,0.4807030985044308,0.4883434298460681,0.44521428470962204,0.4640379649268888,0.46458666981953417,0.45356259504677604
New jersey,0.4792391503387658,0.3855799204485422,0.3919754793710855,0.4259814237730408,0.42953959123027496,0.5372029286118354,0.5612560891508792,0.5292340900702746,0.5727213715188599,0.5834235491063761,0.554530844496942,0.5733419675281298,0.500813409446165,0.5197315978443948,0.6009051973018109,0.5624010946094485,0.40581033462794824,0.3586310820388444,0.40291243859079967,0.4623881168128724,0.4170393385927491,0.4062356482714438,0.4135038665002945,0.41396523857348505
New mexico,0.4828440433039679,0.36784828937591646,0.392264323347007,0.4689357425482415,0.45898846638338486,0.4918320223567367,0.47908554054844177,0.490466796420487,0.5690748026279335,0.5299276052046678,0.48255647178634103,0.5428928584957222,0.5074989798122854,0.5496682645204137,0.5970429846219647,0.5185035300074609,0.37338460944654783,0.4185611986893831,0.47847411899332615,0.498384247604138,0.4177903483433274,0.4284332663909013,0.40042514333242724,0.43496669246129455
New york,0.4865083285569763,0.4399209991552669,0.4409238688901262,0.5019497561012464,0.4727630691275797,0.5667893903041855,0.566392704823055,0.5613058126549186,0.6015696154075767,0.6076098417487449,0.5613614259984896,0.603918845358349,0.4237855381207277,0.4253011024419865,0.49605013214707033,0.4376430362075976,0.2883974307543317,0.27002207907311687,0.32449816564574513,0.376865299923499,0.313172371111752,0.312415973282314,0.32390602305742927,0.3746129384009093
